iter	MultiClass
0	1.465437774
1	1.368303536
2	1.285210631
3	1.223110455
4	1.165354126
5	1.113886572
6	1.075108253
7	1.037804219
8	1.006512717
9	0.9808848492
10	0.9589487296
11	0.9346426413
12	0.9178522138
13	0.9044074155
14	0.8899210449
15	0.8744380982
16	0.8610634643
17	0.8496399381
18	0.8417913327
19	0.8305545905
20	0.8246152398
21	0.8174018046
22	0.8098422061
23	0.8023812541
24	0.7948959229
25	0.789032291
26	0.7848225173
27	0.7815895081
28	0.7770486874
29	0.7728609168
30	0.7682583943
31	0.7655559543
32	0.7614774719
33	0.7568549878
34	0.7543248142
35	0.7510914555
36	0.7484159211
37	0.7463039615
38	0.7439329523
39	0.7410940868
40	0.7393199977
41	0.7380106924
42	0.7366735705
43	0.7352556628
44	0.7332285473
45	0.7316886832
46	0.7305034583
47	0.7289501857
48	0.7274928521
49	0.7259830459
50	0.7247935852
51	0.7226643163
52	0.7217047895
53	0.7194706815
54	0.7187960163
55	0.7172782029
56	0.7154073287
57	0.7137878025
58	0.7125734601
59	0.7115518412
60	0.7108965253
61	0.7093149908
62	0.7081954684
63	0.7071184737
64	0.7064143055
65	0.7053835957
66	0.7042750491
67	0.7035918715
68	0.7032184043
69	0.7018650362
70	0.7012101313
71	0.6999593374
72	0.6990072389
73	0.6972033949
74	0.6967526874
75	0.6957129762
76	0.694606855
77	0.693325662
78	0.6926738147
79	0.6919795814
80	0.6911869807
81	0.6907545231
82	0.6900862638
83	0.6893331083
84	0.6886586078
85	0.6880064021
86	0.6871677898
87	0.6862215924
88	0.6856583455
89	0.6844310437
90	0.6832290997
91	0.6827583818
92	0.6822310016
93	0.681572286
94	0.6801064805
95	0.6791694558
96	0.6787221514
97	0.6781053039
98	0.6774697735
99	0.676709917
100	0.6755181335
101	0.6749991111
102	0.6742744241
103	0.6736732122
104	0.6730524985
105	0.6724451743
106	0.6715545409
107	0.6704921211
108	0.6699106367
109	0.6689542766
110	0.6686617305
111	0.6680743835
112	0.6674505342
113	0.6666983519
114	0.6663276597
115	0.6658235797
116	0.6650311957
117	0.664434457
118	0.664020169
119	0.6629036486
120	0.6619793507
121	0.6616045515
122	0.6609255219
123	0.6607897329
124	0.6601484277
125	0.659726616
126	0.6589825693
127	0.6576196169
128	0.6570667313
129	0.6563138361
130	0.6554315836
131	0.6546539546
132	0.6540218246
133	0.6535595104
134	0.6529064353
135	0.6518095596
136	0.6513886939
137	0.6507070453
138	0.6504780189
139	0.6497757931
140	0.6491530467
141	0.6486664328
142	0.6481983342
143	0.6476853354
144	0.6469768838
145	0.6467295666
146	0.6463283396
147	0.6449753389
148	0.6444121381
149	0.643925939
150	0.6434134205
151	0.6421343939
152	0.6416514098
153	0.6408065454
154	0.6404631421
155	0.6395585022
156	0.6388969819
157	0.6381435464
158	0.6377203896
159	0.636157728
160	0.6358220797
161	0.6351546467
162	0.6345313285
163	0.633943766
164	0.6332773566
165	0.6327442275
166	0.6322866468
167	0.6319369719
168	0.6314952905
169	0.6310744557
170	0.6301635846
171	0.6292188642
