iter	Passed	Remaining
411	3804	5429
412	3812	5418
413	3820	5408
414	3829	5397
415	3838	5388
416	3846	5378
417	3855	5368
418	3865	5359
419	3874	5350
420	3881	5338
421	3890	5328
422	3899	5318
423	3907	5308
424	3917	5299
425	3925	5289
426	3935	5280
427	3944	5271
428	3953	5261
429	3961	5251
430	3970	5242
431	3979	5232
432	3988	5223
433	3998	5214
434	4008	5206
435	4018	5198
436	4027	5189
437	4038	5182
438	4049	5174
439	4058	5165
440	4067	5155
441	4076	5146
442	4085	5136
443	4093	5125
444	4101	5115
445	4111	5106
446	4120	5098
447	4130	5088
448	4138	5079
449	4147	5068
450	4156	5059
451	4165	5050
452	4173	5040
453	4184	5032
454	4193	5023
455	4202	5014
456	4211	5004
457	4220	4994
458	4229	4985
459	4238	4975
460	4247	4966
461	4257	4957
462	4266	4948
463	4276	4939
464	4285	4930
465	4294	4921
466	4303	4911
467	4312	4902
468	4321	4892
469	4329	4882
470	4338	4872
471	4347	4863
472	4356	4853
473	4367	4846
474	4376	4837
475	4385	4828
476	4394	4818
477	4403	4808
478	4412	4799
479	4422	4791
480	4432	4782
481	4440	4772
482	4450	4763
483	4459	4753
484	4468	4744
485	4478	4736
486	4488	4727
487	4497	4718
488	4506	4709
489	4516	4700
490	4526	4692
491	4535	4683
492	4546	4675
493	4555	4666
494	4572	4664
495	4583	4656
496	4601	4657
497	4615	4652
498	4626	4645
499	4638	4638
500	4647	4628
501	4655	4618
502	4664	4608
503	4673	4599
504	4682	4589
505	4691	4579
506	4700	4570
507	4709	4561
508	4718	4552
509	4728	4542
510	4737	4533
511	4745	4523
512	4754	4513
513	4763	4503
514	4771	4493
515	4780	4484
516	4788	4473
517	4798	4464
518	4806	4454
519	4816	4446
520	4825	4436
521	4833	4426
522	4842	4416
523	4850	4406
524	4859	4396
525	4868	4386
526	4877	4377
527	4886	4367
528	4894	4357
529	4903	4348
530	4913	4339
531	4922	4330
532	4931	4320
533	4940	4310
534	4949	4301
535	4958	4292
536	4968	4283
537	4977	4274
538	4986	4264
539	4996	4256
540	5006	4247
541	5016	4238
542	5024	4228
543	5033	4219
544	5043	4210
545	5051	4200
546	5060	4191
547	5068	4180
548	5077	4170
549	5086	4161
550	5095	4151
551	5103	4142
552	5114	4133
553	5123	4124
554	5132	4114
555	5140	4104
556	5149	4095
557	5157	4085
558	5166	4075
559	5174	4065
560	5183	4055
561	5191	4046
562	5200	4036
563	5208	4026
564	5218	4017
565	5227	4008
566	5236	3998
567	5245	3989
568	5254	3980
569	5264	3971
570	5272	3961
571	5280	3951
572	5289	3941
573	5297	3931
574	5306	3921
575	5315	3912
576	5324	3903
577	5333	3893
578	5341	3883
579	5349	3873
580	5357	3863
581	5366	3854
582	5375	3844
583	5385	3836
584	5394	3826
585	5402	3817
586	5411	3807
587	5419	3797
588	5427	3787
589	5437	3778
590	5447	3769
591	5457	3761
592	5466	3751
593	5475	3742
594	5485	3734
595	5494	3724
596	5502	3714
597	5513	3706
598	5522	3697
599	5532	3688
600	5541	3678
601	5549	3668
602	5558	3659
603	5569	3651
604	5577	3641
605	5586	3631
606	5594	3622
607	5603	3612
608	5611	3603
609	5620	3593
610	5628	3583
611	5637	3574
612	5646	3564
613	5655	3555
614	5663	3545
615	5672	3535
616	5680	3526
617	5689	3516
618	5697	3507
619	5706	3497
620	5715	3488
621	5724	3479
622	5734	3470
623	5742	3460
624	5750	3450
625	5759	3440
626	5767	3431
627	5776	3421
628	5785	3412
