iter	Logloss
181	0.4490831058
182	0.4488851097
183	0.4487933991
184	0.4486743195
185	0.448530185
186	0.4483782836
187	0.448305205
188	0.4482884028
189	0.4482169496
190	0.4481164797
191	0.447969326
192	0.4478398105
193	0.4476776727
194	0.4475622207
195	0.4475256833
196	0.4474456496
197	0.4473010017
198	0.4471897017
199	0.4470690888
200	0.4468827826
201	0.4467091116
202	0.4464804101
203	0.4463400093
204	0.4463139362
205	0.4460933672
206	0.4460395062
207	0.4458833464
208	0.4458617268
209	0.445805356
210	0.4457004946
211	0.445622437
212	0.4455412815
213	0.4454742784
214	0.4453693214
215	0.4452321615
216	0.4451743556
217	0.4450678278
218	0.4449619206
219	0.4447545449
220	0.4444778943
221	0.4443974796
222	0.444314717
223	0.4441914236
224	0.443874899
225	0.4437587422
226	0.4436788621
227	0.4436442062
228	0.4435483345
229	0.4433421237
230	0.4430943636
231	0.4430178525
232	0.4428808387
233	0.4427544971
234	0.4427290555
235	0.4425489535
236	0.4424199931
237	0.4423730976
238	0.4423117419
239	0.4422772908
240	0.4422359346
241	0.4421703962
242	0.4420409928
243	0.4420134559
244	0.4419740425
245	0.4418267799
246	0.4416405877
247	0.4414883431
248	0.4412483266
249	0.4410788527
250	0.441000436
251	0.4407554592
252	0.4407088707
253	0.4404446761
254	0.4403390939
255	0.4401411258
256	0.4400975718
257	0.4399304907
258	0.4398572031
259	0.4397972142
260	0.4397286392
261	0.4396143717
262	0.4394312301
263	0.4393256043
264	0.4392430007
265	0.4390775535
266	0.4389825429
267	0.4389266053
268	0.4387981601
269	0.4386974321
270	0.4385838075
271	0.4384111373
272	0.4383116865
273	0.4382368289
274	0.4381408745
275	0.4379922887
276	0.4379032196
277	0.4377026275
278	0.4376435082
279	0.4375943024
280	0.4375348117
281	0.4373467773
282	0.4372202768
283	0.4371547638
284	0.4369875455
285	0.4369420585
286	0.4368948711
287	0.4368362718
288	0.4368030273
289	0.4366222662
290	0.4365775094
291	0.4363671044
292	0.4361608937
293	0.4360997254
294	0.4360136166
295	0.4358808134
296	0.4358392227
297	0.4357871636
298	0.4354868721
299	0.4353446175
300	0.4352709953
301	0.4352122884
302	0.43505912
303	0.4347343981
304	0.4345454092
305	0.4343975168
306	0.4342974786
307	0.4341802669
308	0.4340797118
309	0.433887625
310	0.4338386744
311	0.4337552012
312	0.4335952767
313	0.4334116441
314	0.433229925
315	0.4332074125
316	0.4330177913
317	0.4328793086
318	0.4328516681
319	0.4326569667
320	0.432484685
321	0.4323940697
322	0.4323170675
323	0.4321862493
324	0.4320233581
325	0.4318747746
326	0.4316927189
327	0.4315459182
328	0.4312403013
329	0.4311393144
330	0.4310195738
331	0.430946688
332	0.430754064
333	0.4306235906
334	0.4303908611
335	0.4302328447
336	0.4300800639
337	0.42983526
338	0.4297438927
339	0.4296002505
340	0.4294836244
341	0.4293511352
342	0.4292254025
343	0.4290198152
344	0.4288629712
345	0.4287151177
346	0.4285729048
347	0.4283735685
348	0.4282263978
349	0.4280213411
350	0.4277452088
351	0.4276570834
352	0.4276241557
353	0.4273886434
354	0.4271426682
355	0.4268568439
356	0.426722523
357	0.4264900699
358	0.4263948199
359	0.4262078061
360	0.4260571745
361	0.4259103497
362	0.4257389491
363	0.4255184478
364	0.4253593632
365	0.4252464217
366	0.4250495488
367	0.4248376233
368	0.4245828567
369	0.4243903481
370	0.4242599782
371	0.4241182023
372	0.4239605887
373	0.4237282234
374	0.4236225379
375	0.4234049314
376	0.4231516848
377	0.4229542852
378	0.4227842126
379	0.4226239898
380	0.4223748973
381	0.422295065
382	0.4221259265
383	0.4219135133
384	0.4217377927
385	0.4216158593
386	0.4214625646
387	0.4213732111
388	0.4212464288
389	0.421087475
390	0.4209072618
391	0.420723831
392	0.420564072
393	0.4204152791
394	0.4203163733
395	0.4201015133
396	0.4198558841
397	0.4195941308
398	0.419546863
399	0.419446802
