iter	Logloss
0	0.6804322414
1	0.6694114059
2	0.6595213579
3	0.6485471764
4	0.6403239639
5	0.6323913694
6	0.6237903157
7	0.6154544629
8	0.6093362286
9	0.6017965539
10	0.5960524059
11	0.5902726229
12	0.5838781634
13	0.5780209009
14	0.5733630632
15	0.568053574
16	0.56376379
17	0.5592540465
18	0.5554714647
19	0.5521012451
20	0.5483195703
21	0.5452177509
22	0.5422338159
23	0.5400395417
24	0.5374418024
25	0.5340930039
26	0.531785653
27	0.5286800366
28	0.5264059042
29	0.5242702449
30	0.5214296789
31	0.5196875762
32	0.5174090893
33	0.51573046
34	0.5136841276
35	0.5114855279
36	0.5094338277
37	0.5078896295
38	0.5061790965
39	0.5043216532
40	0.5029353813
41	0.5016723589
42	0.5004457169
43	0.499190301
44	0.4982104735
45	0.4968436018
46	0.4954820776
47	0.4943694968
48	0.4932594478
49	0.4923104416
50	0.491212687
51	0.4900951722
52	0.489130141
53	0.4882604238
54	0.4878593125
55	0.4873970664
56	0.4864628752
57	0.485703178
58	0.4851427519
59	0.4843580376
60	0.4837985885
61	0.4833640514
62	0.4824432964
63	0.4815471431
64	0.4809822145
65	0.480426453
66	0.4794911077
67	0.4789293356
68	0.4782072233
69	0.4775904604
70	0.476947823
71	0.4762325929
72	0.4757633465
73	0.4751366567
74	0.4746312166
75	0.4742846471
76	0.4739266479
77	0.4735516331
78	0.4729232751
79	0.4724757214
80	0.4719586741
81	0.4716628346
82	0.4712665253
83	0.4707714738
84	0.4702577458
85	0.4697123139
86	0.4693420932
87	0.4690406832
88	0.4686832018
89	0.4683520149
90	0.4681886216
91	0.4677592445
92	0.4672930752
93	0.4669157116
94	0.4666529937
95	0.4662256881
96	0.465817508
97	0.4655254604
98	0.4652131326
99	0.464880315
100	0.4645940764
101	0.4643184268
102	0.4639209432
103	0.4636478845
104	0.4633580869
105	0.4631557572
106	0.4629188355
107	0.4626428537
108	0.4623982117
109	0.462265475
110	0.4620051174
111	0.4617590674
112	0.4613683227
113	0.4610755051
114	0.4607054224
115	0.4605985228
116	0.4603714017
117	0.4600248213
118	0.4598558188
119	0.4595305625
120	0.45923851
121	0.4591009914
122	0.4588006673
123	0.4586133097
124	0.4583367119
125	0.4581378888
126	0.4579854762
127	0.4578134057
128	0.4576264358
129	0.4574120872
130	0.4571965561
131	0.4569643904
132	0.4567936794
133	0.4565991914
134	0.4562898376
135	0.4560518369
136	0.4559160619
137	0.4557526213
138	0.4555049807
139	0.4554043227
140	0.4553423523
141	0.4551571102
142	0.4549930433
143	0.4546693202
144	0.4545580851
145	0.454432328
146	0.4542817534
147	0.45417139
148	0.4539548253
149	0.4538104497
150	0.4535720979
151	0.4534049449
152	0.4533084671
153	0.4531950754
154	0.4531343023
155	0.4529229608
156	0.4528089457
157	0.4527032024
158	0.4525066793
159	0.452338715
160	0.4521731102
161	0.4519597654
162	0.4516310108
163	0.4514712673
164	0.451409546
165	0.4511353694
166	0.4510157589
167	0.4508962571
168	0.4507510384
169	0.4505964928
170	0.4504604738
171	0.4503030547
172	0.4501538954
173	0.4500185255
174	0.4498916407
175	0.4498186427
176	0.4496191031
177	0.449559939
178	0.4493788607
179	0.4492565251
180	0.4491701991
