iter	RMSE
316	138.3799824
317	138.2817439
318	138.2054289
319	137.8800937
320	137.672749
321	137.4237758
322	137.1811755
323	137.0629915
324	136.9734005
325	136.8507044
326	136.8214157
327	136.4962639
328	136.1778698
329	136.0459815
330	135.8637535
331	135.8261315
332	135.8010642
333	135.6893325
334	135.6131236
335	135.3970456
336	135.2021682
337	135.1227162
338	134.908563
339	134.7377466
340	134.6562955
341	134.5384332
342	134.2165469
343	134.0244741
344	133.9847885
345	133.9142538
346	133.8783333
347	133.7316191
348	133.6982874
349	133.4642375
350	133.4190331
351	133.3686338
352	133.2599671
353	133.1851825
354	133.121504
355	132.9267986
356	132.6588398
357	132.2431459
358	132.084005
359	131.9373099
360	131.7849741
361	131.7276892
362	131.6250128
363	130.8750199
364	130.7442614
365	130.6121898
366	130.1291035
367	130.0786945
368	130.0471021
369	129.8251141
370	129.5847975
371	129.566368
372	129.3576254
373	129.1154485
374	128.9014279
375	128.6233824
376	128.4335853
377	128.333996
378	128.2326211
379	128.1901572
380	128.0309791
381	128.0038676
382	127.7208747
383	127.6187601
384	127.416482
385	127.3586082
386	127.2267091
387	127.0405422
388	126.6979747
389	126.6190879
390	126.4879911
391	126.4285102
392	126.2738672
393	126.1045753
394	126.0560891
395	125.9297356
396	125.8598028
397	125.6466117
398	125.2652902
399	124.9820317
400	124.8240254
401	124.7904487
402	124.6040848
403	124.5238165
404	124.4410388
405	124.4088941
406	124.378366
407	124.1738995
408	124.0040008
409	123.8018892
410	123.6668171
411	123.6350736
412	123.4208718
413	123.3587641
414	123.3278799
415	123.2585632
416	123.2303801
417	123.2232741
418	123.1505672
419	123.0930335
420	123.0052795
421	122.9822168
422	122.9200134
423	122.8918578
424	122.8644874
425	122.8459539
426	122.7670011
427	122.6611654
428	122.5827829
429	122.3954916
430	122.363295
431	122.2087681
432	122.1843238
433	122.1437223
434	122.0445685
435	121.7715753
436	121.7453854
437	121.4470265
438	121.3239316
439	121.3054445
440	121.155938
441	120.8896044
442	120.763129
443	120.7051521
444	120.4740882
445	120.390579
446	120.3470195
447	120.2885899
448	120.2450943
449	120.2282846
450	120.2008606
451	120.1629631
452	119.9687589
453	119.6958766
454	119.5986552
455	119.5202291
456	119.4177143
457	119.3109034
458	119.2567198
459	119.2231517
460	119.0440884
461	118.8724366
462	118.8477612
463	118.7208633
464	118.4814181
465	118.4553331
466	118.2655833
467	118.2304253
468	118.1882689
469	118.0920141
470	118.0725268
471	118.0502918
472	118.0297017
473	117.9935669
474	117.7931359
475	117.622672
476	117.6082976
477	117.5254966
478	117.1289427
479	116.9573495
480	116.7490082
481	116.4555136
482	116.3872901
483	116.2263555
484	116.206388
485	116.1557644
486	116.1022442
487	116.0834769
488	116.0606049
489	116.0244217
490	115.9634908
491	115.9409078
492	115.8719116
493	115.8067607
494	115.7478244
495	115.7328413
496	115.6296738
497	115.5895423
498	115.4748099
499	115.4115446
500	115.2987154
501	115.2134703
502	115.1828095
503	115.073151
504	115.040223
505	114.8513501
506	114.805318
507	114.7881556
508	114.73426
509	114.7032588
510	114.56504
511	114.3603656
512	114.3221129
513	114.2606278
514	114.1633632
515	113.9855835
516	113.9574944
517	113.7648756
518	113.7573483
519	113.6881003
520	113.5687791
521	113.5348538
522	113.4770392
523	113.1885695
524	113.134226
525	113.1172095
526	113.0969226
527	113.0565382
528	113.0369809
529	112.9852695
530	112.9313486
531	112.8869002
532	112.8687461
533	112.8396752
534	112.7470944
535	112.6782333
536	112.6507461
537	112.5922199
538	112.5841195
539	112.4905468
540	112.4659888
541	112.4114951
542	112.2504553
543	112.2183517
544	111.9661963
545	111.8764237
546	111.8165689
547	111.73276
548	111.72346
549	111.712578
550	111.6547963
551	111.5332654
552	111.505714
553	111.4372284
554	111.4175998
555	111.3809989
556	110.8730286
557	110.8504933
558	110.678799
559	110.5437538
560	110.3620068
561	110.3353211
562	110.2668279
563	110.1683746
564	109.9990925
565	109.9563585
566	109.9057133
567	109.8672268
568	109.8152478
569	109.788038
570	109.7766388
571	109.7555843
572	109.5940612
573	109.5628456
574	109.4875336
575	109.3427248
576	109.237881
577	109.0061839
578	108.9663211
579	108.9190989
580	108.8649593
581	108.7880431
582	108.7096262
583	108.6858127
584	108.6327151
585	108.5621466
586	108.5443802
587	108.5308398
588	108.4062203
589	108.2259155
590	108.0303258
591	107.666925
592	107.6410025
593	107.6014227
594	107.5413828
595	107.4577884
596	107.447574
597	107.3484159
598	107.3076135
599	107.2655913
600	107.0717782
601	107.0370071
602	106.9535007
603	106.8549524
604	106.6199626
605	106.4358675
606	106.3574246
607	106.2363383
608	106.2208181
609	106.1605883
610	106.0453126
611	105.9244559
612	105.906051
613	105.8658577
614	105.7235536
615	105.682833
616	105.5590492
617	105.4171419
618	105.2444572
619	105.1871016
620	105.1650989
621	105.1205528
622	105.0850737
623	105.0659236
624	105.0529012
625	105.0070207
626	104.9706226
627	104.9596396
628	104.8903586
629	104.8777786
630	104.7674216
631	104.6371515
632	104.5085033
633	104.4823703
634	104.4638945
635	104.363539
636	104.2249068
637	104.1658716
638	104.0980857
639	104.0078982
640	103.8465811
641	103.732541
642	103.6759358
643	103.6649567
644	103.6471029
645	103.5700941
646	103.5544296
647	103.532306
648	103.49254
649	103.4662423
650	103.438144
651	103.3710156
652	103.3687616
653	103.0825636
654	103.0725618
655	102.9813934
656	102.9421571
657	102.9039685
658	102.891269
659	102.8758435
660	102.8562114
661	102.8245029
662	102.7428688
663	102.7147837
664	102.6697936
665	102.6353848
666	102.5737726
667	102.5234403
668	102.5146778
669	102.3594182
670	102.2904239
671	102.2042868
672	102.1821743
673	102.0269142
674	101.9658412
675	101.7839182
676	101.7294406
677	101.678249
678	101.6352807
679	101.6121513
680	101.5853539
681	101.4773188
682	101.4576459
683	101.3985487
684	101.1874598
685	100.8808666
686	100.8696682
687	100.8520651
688	100.6218887
689	100.5923159
690	100.501894
691	100.3961186
692	100.3689102
693	100.3389723
694	100.3241202
695	100.2753473
696	100.2337032
697	100.1924361
698	100.1767658
699	100.1514273
700	100.0657914
701	100.0529002
702	99.99871786
703	99.95952052
704	99.87928647
705	99.82731421
706	99.82435994
707	99.7687393
708	99.74463769
709	99.39366232
710	99.29918999
711	99.29208683
712	99.26182757
713	99.2476479
714	99.17799574
715	99.050794
716	99.03152362
717	99.01603268
718	98.93685729
719	98.87581655
720	98.84562925
721	98.71428644
722	98.70861325
723	98.68461803
724	98.64760301
725	98.63153289
726	98.59162917
727	98.53175149
728	98.46132822
729	98.42946839
730	98.36691739
731	98.30021801
732	98.2445302
733	98.12888559
734	98.04208346
735	98.03423472
736	98.02930721
737	98.01629562
738	98.00290585
739	97.95393411
740	97.94482774
741	97.92099166
742	97.79577807
743	97.76761004
744	97.73797364
745	97.68350938
746	97.65471217
747	97.58180148
748	97.55291729
749	97.50511509
