iter	Passed	Remaining
401	15349	13287
402	15391	13252
403	15434	13219
404	15474	13182
405	15516	13146
406	15551	13106
407	15595	13072
408	15626	13028
409	15657	12984
410	15689	12941
411	15721	12897
412	15753	12854
413	15781	12808
414	15812	12764
415	15844	12721
416	15879	12680
417	15922	12646
418	15968	12614
419	16017	12585
420	16062	12552
421	16108	12520
422	16155	12489
423	16201	12456
424	16236	12415
425	16267	12372
426	16301	12331
427	16334	12289
428	16367	12246
429	16401	12205
430	16438	12166
431	16467	12122
432	16511	12088
433	16553	12052
434	16597	12019
435	16645	11987
436	16680	11947
437	16712	11904
438	16746	11863
439	16779	11821
440	16809	11778
441	16840	11734
442	16879	11697
443	16918	11659
444	16950	11617
445	16983	11576
446	17019	11536
447	17057	11498
448	17095	11460
449	17138	11425
450	17176	11387
451	17219	11352
452	17259	11316
453	17298	11278
454	17335	11239
455	17365	11196
456	17405	11159
457	17440	11119
458	17465	11072
459	17500	11033
460	17538	10995
461	17567	10950
462	17596	10907
463	17627	10864
464	17657	10822
465	17694	10783
466	17736	10748
467	17774	10710
468	17798	10664
469	17827	10620
470	17865	10582
471	17896	10540
472	17920	10494
473	17945	10449
474	17971	10404
475	18001	10362
476	18033	10321
477	18059	10276
478	18082	10230
479	18112	10188
480	18152	10151
481	18184	10110
482	18217	10070
483	18244	10026
484	18279	9987
485	18318	9950
486	18361	9915
487	18405	9881
488	18447	9846
489	18491	9811
490	18534	9776
491	18581	9744
492	18624	9709
493	18675	9678
494	18718	9643
495	18759	9606
496	18795	9567
497	18830	9528
498	18863	9488
499	18901	9450
500	18946	9416
501	18993	9383
502	19028	9343
503	19056	9301
504	19076	9255
505	19099	9210
506	19118	9163
507	19141	9118
508	19169	9076
509	19207	9038
510	19249	9003
511	19286	8965
512	19325	8927
513	19362	8890
514	19404	8854
515	19441	8816
516	19478	8778
517	19513	8739
518	19552	8702
519	19594	8666
520	19640	8632
521	19684	8597
522	19727	8562
523	19773	8528
524	19815	8492
525	19859	8457
526	19899	8420
527	19928	8379
528	19958	8338
529	19991	8298
530	20031	8261
531	20069	8223
532	20104	8185
533	20134	8144
534	20170	8105
535	20204	8066
536	20238	8027
537	20272	7988
538	20303	7948
539	20329	7905
540	20354	7863
541	20377	7820
542	20400	7777
543	20425	7734
544	20447	7691
545	20469	7647
546	20494	7605
547	20527	7566
548	20564	7529
549	20593	7488
550	20630	7451
551	20671	7414
552	20705	7376
553	20736	7336
554	20755	7292
555	20786	7252
556	20819	7213
557	20853	7175
558	20889	7137
559	20924	7099
560	20954	7059
561	20993	7022
562	21039	6988
563	21081	6952
564	21120	6915
565	21162	6879
566	21207	6844
567	21253	6810
568	21294	6773
569	21332	6736
570	21370	6699
571	21415	6664
572	21454	6627
573	21485	6588
574	21533	6553
575	21582	6519
576	21629	6485
577	21674	6449
578	21723	6415
579	21772	6381
580	21828	6349
581	21876	6314
582	21920	6279
583	21959	6241
584	21997	6204
585	22035	6167
586	22078	6130
587	22118	6093
588	22156	6056
589	22189	6017
590	22224	5979
591	22263	5941
592	22302	5904
593	22332	5865
594	22367	5826
595	22406	5789
596	22449	5753
597	22494	5717
598	22536	5681
599	22581	5645
600	22622	5608
601	22657	5570
602	22687	5530
603	22724	5493
604	22759	5454
605	22796	5416
606	22835	5379
607	22876	5342
608	22920	5306
609	22962	5270
610	23000	5232
611	23041	5195
612	23082	5158
613	23123	5121
614	23173	5086
615	23216	5050
616	23255	5012
617	23295	4975
618	23344	4940
619	23390	4904
620	23422	4865
621	23459	4827
622	23503	4791
623	23550	4755
624	23597	4719
625	23642	4683
626	23683	4646
627	23725	4609
628	23764	4571
629	23798	4532
630	23830	4494
631	23863	4455
632	23901	4417
633	23943	4380
634	23977	4342
635	24020	4305
636	24065	4269
637	24102	4231
638	24130	4191
639	24166	4153
640	24205	4115
641	24237	4077
642	24279	4040
643	24321	4003
644	24358	3965
645	24396	3927
646	24437	3890
647	24482	3853
648	24526	3816
649	24567	3779
650	24609	3742
651	24653	3705
652	24695	3668
653	24728	3629
654	24762	3591
655	24793	3552
656	24832	3515
657	24867	3476
658	24902	3438
659	24940	3401
660	24964	3361
661	24993	3322
662	25027	3284
663	25061	3245
664	25093	3207
665	25129	3169
666	25161	3131
667	25199	3093
668	25224	3054
669	25255	3015
670	25287	2977
671	25312	2938
672	25343	2899
673	25374	2861
674	25405	2822
675	25430	2783
676	25462	2745
677	25492	2707
678	25523	2668
679	25556	2630
680	25581	2592
681	25613	2553
682	25649	2516
683	25687	2478
684	25723	2440
685	25755	2402
686	25794	2365
687	25825	2327
688	25851	2288
689	25883	2250
690	25919	2213
691	25954	2175
692	25989	2137
693	26015	2099
694	26042	2060
695	26078	2023
696	26117	1985
697	26154	1948
698	26187	1910
699	26220	1872
700	26254	1835
701	26285	1797
702	26320	1759
703	26349	1721
704	26385	1684
705	26417	1646
706	26449	1608
707	26481	1570
708	26517	1533
709	26554	1496
710	26594	1458
711	26632	1421
712	26670	1384
713	26712	1346
714	26742	1309
715	26780	1271
716	26820	1234
717	26864	1197
718	26912	1160
719	26952	1123
720	26993	1085
721	27033	1048
722	27075	1011
723	27121	973
724	27167	936
725	27211	899
726	27253	862
727	27288	824
728	27327	787
729	27370	749
730	27408	712
731	27449	674
732	27482	637
733	27507	599
734	27537	561
735	27572	524
736	27607	486
737	27636	449
738	27664	411
739	27703	374
740	27737	336
741	27770	299
742	27802	261
743	27833	224
744	27870	187
745	27907	149
746	27944	112
747	27979	74
748	28018	37
749	28054	0
